Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.001424295158172916,0.9610149169423777,578.4745316505432
L1,L1 1e-05,0.0019457574257520354,0.9507482515019217,624.378214597702
L2,L2 0.0001,0.0019429246190591318,0.952087105079821,635.9094502925873
DR,DR 0.2,0.0014931303115300596,0.9600822743336865,588.6556167602539
ES,ES 10,0.0014232740326707435,0.961119769105486,527.3280162811279
