Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_cifar10,0.00913929820037002,0.7459377164294005,616.1983878612518,Base
brightness_cifar10,0.012614949867366606,0.6430236947764257,629.9276592731476,Brightness
color_jitter_cifar10,0.010134172317376183,0.7187743494465093,702.9148218631744,Color Jitter
contrast_cifar10,0.01109376600142687,0.7002931089158271,633.5199203491211,Contrast
custom_augmentation_1_cifar10,0.018566489528129056,0.5589110942403223,642.5125155448914,Custom Augmentation 1
cutout_cifar10,0.009232511132908095,0.7439378739162615,636.6660380363464,Cutout
flipping_cifar10,0.0402898176507965,0.354359597726992,625.4423458576202,Flipping
gaussian_noise_cifar10,0.009367105954439398,0.7393814594882309,611.3136010169983,Gaussian Noise
random_crop_cifar10,0.01756502728268599,0.6268731241772889,614.2906045913696,Random Crop
rotation_cifar10,0.0106842150781185,0.7115326136540455,639.5856020450592,Rotation
scaling_cifar10,0.00952048578958033,0.7368840696705374,653.8201324939728,Scaling
shearing_cifar10,0.010501731080329342,0.7246168802498253,638.769392490387,Shearing
