L2_Value,Experiment_Name,Test_Accuracy,Test_Loss
0.0001,base_mnist_reg_L2_0.0001,0.8818156092789522,0.010959797307469283
0.001,base_mnist_reg_L2_0.001,0.8379096506507533,0.01452391129580273
0.01,base_mnist_reg_L2_0.01,0.7374314859414556,0.02882808155030202
