Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.004185302583441423,0.8838261756927345,775.4568150043488
L1,L1 1e-05,0.0059822858548515545,0.8254790943898972,642.7627067565918
L2,L2 0.0001,0.005327860098094887,0.8464831869313671,653.0237717628479
DR,DR 0.3,0.0047627638989857805,0.8652781623943596,657.4586219787598
ES,ES 10,0.00415356728325414,0.8850390394781805,601.9674618244171
