Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.0037093842085450888,0.9029834442138672,446.8153624534607
L1,L1 1e-05,0.010078770220279693,0.7430813760757446,426.7617404460907
L2,L2 0.0001,0.005316467277705669,0.8609207830429078,426.056232213974
DR,DR 0.2,0.004373074581846595,0.8859341130256653,435.0899474620819
ES,ES 10,0.003747042687609792,0.9019481391906738,421.1301817893982
