Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_mnist,0.001424295158172916,0.9610149169423777,578.4745316505432,Base
brightness_mnist,0.0021680655628205482,0.9489723364259027,574.2553143501282,Brightness
color_jitter_mnist,0.0016103648042282575,0.9572494421035621,579.8499360084534,Color Jitter
contrast_mnist,0.0021629004841551753,0.948884492087516,575.6630511283875,Contrast
custom_augmentation_1_mnist,0.01259932879382258,0.8587935878213044,602.9212036132812,Custom Augmentation 1
cutout_mnist,0.0014966066665710158,0.9597479086013356,575.1038446426392,Cutout
flipping_mnist,0.07544206097057671,0.7050908048441455,572.2137978076935,Flipping
gaussian_noise_mnist,0.0014876974131140834,0.9599590130672333,570.7574152946472,Gaussian Noise
random_crop_mnist,0.05074361892073018,0.7153065675383161,571.9844224452972,Random Crop
rotation_mnist,0.007813947554084526,0.8938490482652264,598.3942189216614,Rotation
scaling_mnist,0.001924147196914882,0.9528834117445976,597.0569136142731,Scaling
shearing_mnist,0.006111524346622692,0.9168224475186342,599.3965647220612,Shearing
