Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.08798360398837499,0.021277170511893928,0.3254031154312312,0.5808878280222416
2,0.025179484711279943,0.017426972510293126,0.5632159738313585,0.5943470075726509
3,0.02181399204132576,0.01327428303193301,0.6036751137839423,0.6833634115755558
4,0.019342902515615736,0.012537330389022827,0.6428096691767374,0.6988837756216526
5,0.018838279289267366,0.012129629089031368,0.6518971674026005,0.7131698280572891
6,0.017647842107902444,0.011694008426275104,0.6660837341868688,0.719836562871933
7,0.017202110576724248,0.01132819231133908,0.6685490106779431,0.7276112847030163
8,0.01733318899595548,0.011426372919231653,0.6696638323011852,0.728764247149229
9,0.018649325070400086,0.01195661211386323,0.6559407294742645,0.7233883291482925
10,0.018026271302785193,0.011637793912086636,0.6644743330894954,0.7250675559043884
11,0.017180737492347522,0.010951649688649923,0.6719654486292884,0.7386962696909904
12,0.01781398421596913,0.011199608910828829,0.6660634903680711,0.7358505725860596
13,0.017263512481890973,0.011189588287379593,0.674192107859112,0.7345342263579369
14,0.017625722383695936,0.011770528566557914,0.6709742782607911,0.718765314668417
15,0.017099575745680974,0.011609041597694159,0.6785546228999183,0.721309769898653
16,0.017161885956450115,0.01196183159481734,0.6772697369257609,0.7095700092613697
17,0.01644307565653608,0.010753522161394358,0.6847590851405311,0.7412165775895119
18,0.017045617946201845,0.01113009755499661,0.678630701133183,0.7340646050870419
19,0.016823288112405747,0.01173766190186143,0.6825094213561406,0.7186518646776676
20,0.016751883477563897,0.010487459367141128,0.6823526876313346,0.7483770810067654
21,0.017020164013263724,0.010472522990312427,0.68341430785164,0.7480954937636852
22,0.016596457388784205,0.010356197832152247,0.6871117599426754,0.7510134913027287
23,0.016353768887855703,0.010868459881749004,0.685585407983689,0.7414586804807186
24,0.01679772094246887,0.01070042239734903,0.6852098239792718,0.7439864799380302
25,0.01618335008739479,0.010907799180131406,0.6931102143393623,0.7363402955234051
26,0.018398467451334,0.011478443746455014,0.6659664341381618,0.7266296558082104
27,0.016960625108035785,0.011245887842960656,0.6804229617118835,0.7322822511196136
28,0.017441015380124252,0.011026474821846932,0.6762084875788007,0.7386069446802139
29,0.016288937498179692,0.010978042497299612,0.6912969142671616,0.7347289733588696
30,0.017238037941593027,0.01081497425911948,0.6803477680872357,0.7464102245867252
31,0.017596928934965814,0.010733730567153543,0.6794225469468131,0.7452326267957687
32,0.016834638510195035,0.010681744432076812,0.6845479531893655,0.7475303001701832
33,0.01685475992659728,0.012274614069610834,0.686279435006399,0.7063551247119904
34,0.015891003215478525,0.010460305085871369,0.693594495455424,0.7524530030786991
35,0.01659060444032389,0.010472154302988201,0.6888961933908009,0.7467043101787567
36,0.016784559565758896,0.011599094548728317,0.686431850705828,0.7184784896671772
37,0.016070210315760166,0.01035797013901174,0.6951449011999463,0.7528771795332432
38,0.017738342181675963,0.01227594364900142,0.6763331454897684,0.7136861048638821
39,0.015802627089359457,0.010269512189552188,0.6983853256891644,0.7521888464689255
40,0.016050691583326886,0.010359064035583287,0.6957318139454675,0.7492914944887161
41,0.016223478057081738,0.010382258624304086,0.6938107117773995,0.7519378513097763
42,0.015569023507100248,0.01083070132881403,0.7019099536396208,0.7359655052423477
43,0.01685380239394449,0.009964822500478476,0.6863987710740831,0.7591494396328926
44,0.016226293844363048,0.011027635890059173,0.6959395815455724,0.7389366365969181
45,0.015538141604453798,0.010929470299743116,0.7035109769730341,0.7376580983400345
46,0.016660017744889333,0.010821845382452011,0.6896529651823498,0.7454124316573143
47,0.0159387934272961,0.010272539861034602,0.6969129537779187,0.7548242546617985
48,0.016305598134677562,0.01100695674540475,0.6945307368323916,0.7380100600421429
49,0.01645514289183276,0.0105111607699655,0.6929772165086534,0.7479029111564159
50,0.015058105382772665,0.01028203044552356,0.7082780315762475,0.7506292313337326
