Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.0022095207022503017,0.9516107153892517,437.1438319683075
L1,L1 1e-05,0.005382719710469246,0.8598623914718628,423.8540093898773
L2,L2 0.0001,0.0046353724412620066,0.8822480001449585,423.90196776390076
DR,DR 0.2,0.003046960171312094,0.9289107193946838,433.0875332355499
ES,ES 10,0.002229396382346749,0.951198878288269,419.5848879814148
