ES_Value,Experiment_Name,Test_Accuracy,Test_Loss
15,base_cifar100_reg_ES_15,0.951862881517714,0.0022880878065161077
10,base_cifar100_reg_ES_10,0.9516041620521788,0.0022854204838324314
5,base_cifar100_reg_ES_5,0.9508724523957368,0.0023118956815332743
