Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_cifar10,0.004185302583441423,0.8838261756927345,775.4568150043488,Base
brightness_cifar10,0.006753376833382685,0.7950174986936485,794.7287392616272,Brightness
color_jitter_cifar10,0.005765776924053385,0.8281049010859933,980.440887928009,Color Jitter
contrast_cifar10,0.006155165010220875,0.8190428648784662,814.4497482776642,Contrast
custom_augmentation_1_cifar10,0.01995943299239608,0.5361888141009459,680.328619480133,Custom Augmentation 1
cutout_cifar10,0.004344465940668704,0.879436246528747,665.8883094787598,Cutout
flipping_cifar10,0.041013416045220796,0.3730264102957051,660.5305860042572,Flipping
gaussian_noise_cifar10,0.004252435090791457,0.8821007336021229,635.1656601428986,Gaussian Noise
random_crop_cifar10,0.016298188857591836,0.6602453612218238,636.371682882309,Random Crop
rotation_cifar10,0.007169734621361183,0.8019686652596589,674.6641192436218,Rotation
scaling_cifar10,0.004571739584207535,0.8712394582997461,675.9065606594086,Scaling
shearing_cifar10,0.00699363601138922,0.8221137683103039,672.1520140171051,Shearing
