L2_Value,Experiment_Name,Test_Accuracy,Test_Loss
0.0001,base_cifar10_reg_L2_0.0001,0.9174536014818082,0.0033155635613236266
0.001,base_cifar10_reg_L2_0.001,0.7215155199834495,0.010608934821074556
0.01,base_cifar10_reg_L2_0.01,0.6293254171966747,0.016304982387146373
