Experiment,Test Loss,Test Accuracy,Computation Time,FID Score
base_cifar10,0.009808908495458828,0.7267093407879969,185.70293354988098,323.965934478393
base_cifar100,0.010187137391489402,0.7178838002453943,188.8765995502472,332.3265531448136
base_mnist,0.009358021816250625,0.8946358322337934,176.93720722198486,249.80102572797003
base_stl10,0.01019392454624176,0.7368943586349487,177.4009919166565,374.0650012809331
