Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.04666197123080492,0.01985913112901958,0.4154015671789646,0.4497083374269449
2,0.01604223085641861,0.009725716706531443,0.613198065495491,0.7137640566582892
3,0.012728731955587864,0.011900157388892902,0.6703144159793853,0.6823892973031208
4,0.01249981274753809,0.007683202769654762,0.6761751565456391,0.765556695354972
5,0.010848203365504742,0.02214632224837306,0.7070651797294617,0.5525732549132815
6,0.010600396493822337,0.007087722103330929,0.722333694422245,0.785166538824701
7,0.010591018088907004,0.007209998920298876,0.7194634141206742,0.7842963671987984
8,0.009809347096085549,0.008645783765775383,0.7438866816043854,0.7391368302570027
9,0.00872663834542036,0.007270112562521248,0.7654057246565819,0.7772574326035323
10,0.008943454696238041,0.005648091129934901,0.7570330669403076,0.8338134064795865
11,0.00885562146678567,0.009003450758873847,0.7570407912731171,0.7280133066663317
12,0.008157330790907144,0.006467209259866719,0.7719290559768677,0.8033224260731108
13,0.010359021332114936,0.00903823285120403,0.7410452345848083,0.7153664895683337
14,0.009097644113749265,0.00948045086590158,0.762946359205246,0.7239014643013097
15,0.00818427222520113,0.011967758594709596,0.7783676958084107,0.6609103660674611
16,0.008067748993635177,0.004896154950497446,0.7847920198917389,0.858175795169393
17,0.006995122738555073,0.006781012626590243,0.8055723090887069,0.7923260889235576
18,0.006296375739201904,0.009166041317923814,0.8225810492515564,0.7151168421575218
19,0.007719961252808571,0.005267450443593559,0.7925236455917358,0.8437287351887697
20,0.009037256915867329,0.0047521470974727425,0.7674376413583756,0.8638796331776175
21,0.0064848959714174275,0.0049760086598337454,0.8197747598409653,0.8561874221844278
22,0.007099891508743167,0.006268169908861446,0.8032475863933564,0.8076313650532133
23,0.007728808550164104,0.005015094817918577,0.7989861454248428,0.8533682743455194
24,0.007983016953989864,0.006104689465159444,0.7878528195381165,0.8189719824274634
25,0.006752407986298204,0.0045322363211470805,0.8148746047973633,0.8715034571422893
26,0.008100770381093025,0.00551490254617136,0.787739968931675,0.8328759123565285
27,0.007399934683740139,0.004567613801474024,0.8023758739948272,0.8720291875729895
28,0.0070805923640728,0.00445081491711413,0.80968021235466,0.8746507843588568
29,0.007091474931687117,0.0045023048860109915,0.8159377646923065,0.8731665330328
30,0.006613147604465484,0.004737507620126389,0.8150216911792755,0.8642297128962863
31,0.0068121199369430546,0.010852604155327863,0.8164018743515015,0.6939390332076201
32,0.007151125692203641,0.006986255926572403,0.8056765982151032,0.7810330918640088
33,0.006912974662706256,0.004049138929754211,0.8183673953771591,0.8897780764634442
34,0.005859878456965089,0.005103168243862641,0.8393506720542908,0.8484256229582866
35,0.005800222331285476,0.005428826596564168,0.8359577585935593,0.8355378113734494
36,0.007459944865480066,0.004191618098337559,0.8054316841602326,0.8850233243529204
37,0.007367450146377087,0.0048444796424762454,0.8117657913565636,0.8603064558308595
38,0.007462726549804211,0.004427099268242812,0.812970234155655,0.8756749383203543
39,0.005836162001639605,0.004580654737770937,0.8364014920473098,0.8701670682354338
40,0.006378609355911612,0.004144924283502208,0.8294747101545333,0.8850890963700166
41,0.0059481445226818325,0.004380888267046517,0.8354543165683747,0.8779814455919205
42,0.007383092256635427,0.004406164762130968,0.8143755075216293,0.8763524142040569
43,0.006244265624135732,0.00439403639738537,0.833365873336792,0.8753895235669081
44,0.006157744903862477,0.0043178178180175225,0.8278180939435958,0.8793111306846522
45,0.005614446198567748,0.004310160105644612,0.8469316443443299,0.8801025790014084
46,0.006546122896298766,0.004100739290036118,0.8293660106182098,0.8869402643981253
47,0.005863794426620007,0.0038748460148526416,0.8391421991109848,0.8959972474985062
48,0.005764677381888032,0.004057912807021836,0.842967281126976,0.888115289104972
49,0.005486846952140331,0.0049116527424401535,0.8506478723049163,0.8571738669067431
50,0.006156892957538366,0.006751733612577627,0.8289309666633606,0.7935572228613933
