Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.009171294730607491,0.7459995921250362,1164.0599391460419
L1,L1 1e-05,0.01236908547698882,0.6676794374065035,643.0625252723694
L2,L2 0.0001,0.010653813725491618,0.7090534981648633,654.0508272647858
DR,DR 0.2,0.009538566640275678,0.7343291465643864,620.3497893810272
ES,ES 10,0.009108564258808164,0.7479176001184306,603.7023017406464
