Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.049555305243721086,0.01760168664623052,0.44147148905765443,0.623893465846777
2,0.023847765644036588,0.014251717191655189,0.5821145120121184,0.6710038036108017
3,0.0199607942430746,0.010153562587220222,0.6311438036343407,0.7601249404251575
4,0.017494917536775272,0.00955266976961866,0.6832550376180618,0.7767289988696575
5,0.01599354984327441,0.009081261523533612,0.7111300182720971,0.785558432340622
6,0.015467534299999003,0.009792524331714958,0.7160566676230657,0.7682330422103405
7,0.01654326060550317,0.009302406688220799,0.7071595788002014,0.7808189950883389
8,0.016272730238380887,0.009869770496152341,0.711733807647039,0.7674749195575714
9,0.016285186603901877,0.008473455993225798,0.7061700433019608,0.8009682521224022
10,0.014830705517577746,0.008068886469118297,0.7336591236175053,0.8104252777993679
11,0.016168161517097837,0.010860030248295516,0.7172232941975669,0.7350226156413555
12,0.01426705808955289,0.009523863496724516,0.7387173847546653,0.773857019841671
13,0.015257710509652656,0.008149854984367266,0.7312473408759587,0.8105109483003616
14,0.014943800023978665,0.009805737528949976,0.7361237823017059,0.7604119814932346
15,0.014655662626619376,0.008078965707682073,0.7399385789084056,0.8090294450521469
16,0.016323921965464713,0.008338463521795347,0.7129368933420333,0.8047933056950569
17,0.014007590053277829,0.0074284755100961775,0.7492879827817281,0.8227936625480652
18,0.013361519941734889,0.007141176582081243,0.7596338977889409,0.8293380402028561
19,0.01539041991123841,0.007829277601558715,0.7295011461727203,0.8164275512099266
20,0.014860678745049333,0.008080709812929854,0.7385408878326416,0.8137272633612156
21,0.015518913976848125,0.007740002358332276,0.7294252751365541,0.8167487233877182
22,0.014329029668477319,0.009047154686413705,0.7489541797410875,0.7871236391365528
23,0.014041787042977318,0.00913435296388343,0.7447804846460857,0.7813747711479664
24,0.014484697413290776,0.007878627948230132,0.7460388900741698,0.8158115036785603
25,0.014414295953299319,0.008082791668130085,0.7448676483971732,0.8119431622326374
26,0.014097361699751919,0.00838351613492705,0.7492590168165782,0.8045781031250954
27,0.01449602846026657,0.00795948607265018,0.7374402085940043,0.8120257146656513
28,0.012650642920995043,0.006965941196540371,0.7695604014018226,0.834926649928093
29,0.014435277815671667,0.007791736337821931,0.7498300681038509,0.8180135525763035
30,0.01402581362645068,0.007728025695541874,0.7488781961183699,0.8206372186541557
31,0.013624346615480525,0.007621957367518917,0.757640352324834,0.8227671384811401
32,0.013402941695872753,0.0075895490299444646,0.7606207510781666,0.8204954564571381
33,0.013835884453285308,0.00795261506573297,0.7557336858340672,0.8133463487029076
34,0.014498068840198573,0.00803565586102195,0.7439884836711581,0.8096320033073425
35,0.01508280189175691,0.009423664538189769,0.7366542721551562,0.777258213609457
36,0.01349740902641936,0.00744970963569358,0.7568613111026703,0.8200719058513641
37,0.013684061843724478,0.008070220559602603,0.7595995617291283,0.8076626509428024
38,0.013871240451754559,0.008077989623416215,0.755566880816505,0.8105645403265953
39,0.013966726700937937,0.007730072102276608,0.7521930734316508,0.817056130617857
40,0.015809891294569722,0.007954229979077354,0.7307261758380466,0.8134044632315636
41,0.01401048506950102,0.00840658089146018,0.7526799534994458,0.8036520481109619
42,0.01509090642341309,0.008778259390965104,0.7399232586224874,0.7933887429535389
43,0.013886866810184622,0.008036444807657972,0.7519237086886451,0.8081467747688293
44,0.014927802112190023,0.008469945372780785,0.7392894493208991,0.8051668740808964
45,0.013414049107167456,0.007586856925627217,0.7586956317462619,0.8214748650789261
46,0.014165215290314148,0.008454524650005624,0.7504248486624824,0.8044881299138069
47,0.013475186531505888,0.008154475945048034,0.7577353337454418,0.8076167441904545
48,0.013671641592823323,0.007494362420402467,0.7540854064245073,0.8235714584589005
49,0.014063484663705505,0.010064763016998768,0.7467249177751087,0.7517744675278664
50,0.013856249757938914,0.008026088878978044,0.7553170796424623,0.8095339983701706
