ES_Value,Experiment_Name,Test_Accuracy,Test_Loss
15,base_mnist_reg_ES_15,0.94136433806389,0.0028757343756829856
10,base_mnist_reg_ES_10,0.941350250487115,0.0028776843056296277
5,base_mnist_reg_ES_5,0.9411764638439105,0.002892186739155726
