L2_Value,Experiment_Name,Test_Accuracy,Test_Loss
0.0001,base_cifar100_reg_L2_0.0001,0.7090534981648633,0.010653813725491618
0.001,base_cifar10_reg_L2_0.001,0.60178511689423,0.01607298388911091
0.01,base_cifar100_reg_L2_0.01,0.5393207526890336,0.02353096391507395
