Experiment,Test Loss,Test Accuracy,Computation Time
base,0.009193977655451388,0.8972755822406453,181.3290467262268
brightness,0.012018427709532771,0.8717544659687455,183.19099974632263
color_jitter,0.009623021955133244,0.8935462919769773,186.4231321811676
