Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_mnist,0.0028847156012442652,0.9412379067414886,569.7821953296661,Base
brightness_mnist,0.004742617543881676,0.9211990161306539,575.464959859848,Brightness
color_jitter_mnist,0.0030115488753505765,0.9398805176376537,580.7305474281311,Color Jitter
contrast_mnist,0.0035469526511017874,0.9354866826610201,576.4332246780396,Contrast
custom_augmentation_1_mnist,0.014930427934571057,0.8418228800889034,602.0603742599487,Custom Augmentation 1
cutout_mnist,0.002991103736244759,0.9402108200036796,576.5853056907654,Cutout
flipping_mnist,0.0730195757310102,0.7021574362827714,573.4059579372406,Flipping
gaussian_noise_mnist,0.003004792362902385,0.9397208242659356,572.6347784996033,Gaussian Noise
random_crop_mnist,0.05683722529726423,0.7084524749190944,572.755833864212,Random Crop
rotation_mnist,0.009883834906278333,0.8770227967553837,598.7442662715912,Rotation
scaling_mnist,0.0035236259569431756,0.9335961406397971,599.2285981178284,Scaling
shearing_mnist,0.009036202250629854,0.8928170109250743,598.7734904289246,Shearing
