Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.024779044071833293,0.013012118379961937,0.8102907205323379,0.8757895424644998
2,0.01388467916722099,0.011134475984788955,0.8649919571081798,0.8849417957219672
3,0.012900069929659367,0.011034480370382996,0.8719906822045644,0.8875625710538093
4,0.01337789291019241,0.010991875260592775,0.8696338566939036,0.8878086190274421
5,0.01181435261790951,0.010385420287345001,0.8784405903816224,0.8911266209597283
6,0.011885234157244365,0.010510277196249746,0.8775697356065114,0.8891200661025149
7,0.011941922872016827,0.01733190567787499,0.8784883967240651,0.8458230067440804
8,0.011868995334953069,0.010725081833872073,0.8774434338410695,0.8842107514117626
9,0.012208203156789143,0.010223427237546507,0.8765305409431458,0.8885927758318313
10,0.011264461218068997,0.009868968238538884,0.88205815076828,0.8937018111031106
11,0.011689508255571126,0.013058525524993843,0.8793181409041086,0.8761948182227763
12,0.011029071224232514,0.010126395443295862,0.8834265864690145,0.8923017420667283
13,0.011155389256775379,0.01027090578498517,0.8826726264158885,0.8817508997435265
14,0.01093846919387579,0.01005758252985617,0.8840372367699941,0.8901004445679644
15,0.011177743869523207,0.009767276423170846,0.8827067475318908,0.8958437398393103
16,0.011079799766341845,0.009694721876703043,0.8833660001754761,0.8953049978677262
17,0.011302436749140422,0.00990683073673318,0.8821092236042023,0.8953427342658348
18,0.010746591592828432,0.010023572769491597,0.8858624656995138,0.890215146731823
19,0.010451847402999799,0.009575438794699754,0.8872527454694112,0.8952506127509665
20,0.011315712741265695,0.010018928120150528,0.8821231742699941,0.8900856039625533
21,0.010741440210491419,0.009640663010167314,0.885110658009847,0.895991621499366
22,0.011313992079347373,0.00958772440084276,0.8820807649294535,0.8958443767846899
23,0.011179313195248446,0.009848370801340392,0.8826791902383169,0.8933600361676927
24,0.010939272390057644,0.009608030869090494,0.8852039306163788,0.8951892345509631
25,0.01054376192887624,0.009957723790145617,0.8868431208928426,0.8930263183218368
26,0.010674975996216139,0.009536570710863205,0.8856344159444173,0.8971005934984126
27,0.010549097982545694,0.009596157457402095,0.8866924249331156,0.8962781667075259
28,0.01085565673187375,0.00973120778105519,0.8851855960687002,0.8954104762128059
29,0.010966573451956113,0.009633683074424242,0.8839684400558472,0.8947286215868402
30,0.010426848943034807,0.012659288764475508,0.8882707093556722,0.8721205417780166
31,0.011140464348097642,0.009745292177304942,0.8832384221553803,0.8951132265811271
32,0.01032104374965032,0.009372743386577101,0.8883200817108154,0.8963439990865424
33,0.010801683670530717,0.010083805338697547,0.885519406636556,0.8909979243861869
34,0.010814729746431112,0.010348377992062176,0.8853254214922587,0.8871916421550385
35,0.011522653121501207,0.009570108696897613,0.8817733657360077,0.8959491122910317
36,0.010127015406886736,0.009626437429378324,0.8896046275297801,0.8942007983618594
37,0.011140408844997486,0.009762104080514387,0.8835778948465983,0.8938490548666488
38,0.010224788643419743,0.010385751045566606,0.8892525588671366,0.8838157580888018
39,0.010292889576405288,0.00940808144576372,0.8889309191703796,0.8945398194358704
40,0.010785081181054314,0.009532223089023474,0.8851654795010885,0.8968958870527592
41,0.010035840082913637,0.009514797360022018,0.8903446342945099,0.8958965333852362
42,0.010573017423351606,0.009397059223277772,0.8866207563877105,0.8918375242897805
43,0.010889173486580452,0.00937901843993112,0.8849288725058237,0.8972266370311697
44,0.010813658314446608,0.009471127381944593,0.8848117905457814,0.8963038220684579
45,0.010827470346043507,0.009927405356528593,0.8856506516933441,0.8916220043567901
46,0.010267385926097631,0.009582669548492165,0.8889323263963064,0.8951759839311559
47,0.010210348521669705,0.009511037100542416,0.8893303395112355,0.8940871579849974
48,0.01052541600788633,0.009562970579978316,0.8873418722947438,0.8969563103102624
49,0.010379521161317825,0.009400273930836232,0.887976437886556,0.8985146559933399
50,0.010069981408615907,0.00941818537428341,0.8902967239220937,0.8979987058233707
