Dropout_Rate,Experiment_Name,Test_Accuracy,Test_Loss
0.2,base_cifar10_reg_DR_0.2,0.9413255392366154,0.002664980487482753
0.3,base_cifar10_reg_DR_0.3,0.9358960974747967,0.002840920877909869
0.4,base_cifar10_reg_DR_0.4,0.9161823585534551,0.0033834637038907996
