Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.026675747954845428,0.004914654036212689,0.6977341567695141,0.8661214789007879
2,0.0056375799279659985,0.0036477924303810116,0.8611147668838501,0.9057345887657943
3,0.004656838870421052,0.0033036315158175623,0.8889884484291076,0.9178323791285229
4,0.004530736735090613,0.0039015464369017796,0.8940824657440185,0.8963472247123718
5,0.004189484928548336,0.0030440055990627237,0.902972693347931,0.9271247876677543
6,0.0040170054871588945,0.0028996521007910274,0.9079215119361878,0.9315639939277794
7,0.004025642086192965,0.002854911436973389,0.9089944615364075,0.9331594910591271
8,0.003946551536768675,0.0029744958656300214,0.9116904002189636,0.9306034388815522
9,0.004051154999807477,0.002861581898478281,0.9088875933647156,0.9336265553334716
10,0.003939140319824219,0.002804330014772001,0.9133383008956909,0.9353046975318035
11,0.0037666193760931494,0.0029534437637301577,0.9166558882713318,0.930248756317576
12,0.0038550833329558374,0.003042014315724373,0.9156008170127868,0.9287070688928009
13,0.003677679879590869,0.002637427126704033,0.9199001749038697,0.9406825934246088
14,0.0036200241670012474,0.002568885342923889,0.9211216439247132,0.942736537972833
15,0.003613172796368599,0.0026564204006509226,0.9213017450332641,0.9402621213797551
16,0.00365609920732677,0.002617734703858187,0.9207165801048279,0.9414270356961876
17,0.003510433638468385,0.002597198962489036,0.9242963586807251,0.9420659287719969
18,0.0035691344533115626,0.0025178055504372545,0.9229315616607666,0.9446146021223372
19,0.003465830634534359,0.0027279427518273236,0.9251183618545532,0.9379240259243424
20,0.0034707086965441703,0.0024907618247945406,0.9255401558876037,0.945264992440582
21,0.0035710018776357174,0.002529027376466306,0.9237176063537598,0.9441568042821945
22,0.003524952729418874,0.0024664142854203272,0.9248781047821045,0.9460155899357644
23,0.0034341795679181815,0.002542556721752711,0.92664265499115,0.9446168352084555
24,0.0033718869730830193,0.002415009892907492,0.9280613227844239,0.9476939599225476
25,0.0033723409362137317,0.0024742033113102626,0.9284865023612976,0.9462531224177901
26,0.003386090154573321,0.002403439768548509,0.9279338507652283,0.9479974830985829
27,0.003379287172853947,0.0024332164558374387,0.9283338503837586,0.9470937176115194
28,0.003298899793997407,0.0024783469092955067,0.9301337774276733,0.946206632313455
29,0.0033929341215640308,0.002423498586745589,0.9282689818382264,0.9475448048038847
30,0.0033677723936736586,0.002384859292951834,0.9287764526367187,0.9487249501951182
31,0.003346197470650077,0.002423215176981346,0.9296243196487427,0.9473423927452913
32,0.0034170267045497893,0.00244038924574852,0.9281937538146973,0.9467049571359234
33,0.0034300786308944227,0.0024076902016902427,0.9279118203163147,0.9479518673222536
34,0.0033063957545906306,0.0024059685139922768,0.9303456415176392,0.9484812921019876
35,0.003315133832767606,0.0025851684414846883,0.9299679158210754,0.9429078523520451
36,0.0032967606976628304,0.0023982641301977976,0.9307569936752319,0.9482701959883332
37,0.003325111339986324,0.002382246654326464,0.9300965045928955,0.9489894019570321
38,0.0033686661597341298,0.002458617393710431,0.9294186707496643,0.9466986424604039
39,0.0032121875893324613,0.002393113508535798,0.9322780220985413,0.948859298305147
40,0.0032604572210460903,0.002360591085058204,0.9313134397506714,0.9496497732059211
41,0.003172964383289218,0.002414194853667905,0.9330286085128784,0.9483833578741474
42,0.0032560118522495032,0.0025543416049450068,0.9315023804664612,0.9440984589279078
43,0.003212236138805747,0.0024080393423628844,0.9323185170173645,0.9488114801941404
44,0.003312502397224307,0.002366487616020593,0.9308408484458923,0.9497371782922441
45,0.0032614737622439862,0.002342133345319682,0.9317775269508362,0.9502396188723813
46,0.0032933052983134983,0.0023945693466456454,0.9311031859397888,0.9486212783558353
47,0.0033258181881159546,0.002442388291096991,0.9303946892738342,0.9473648762247365
48,0.0032395419996231792,0.0023181451985814197,0.9320512575149537,0.9505648795206836
49,0.0032978980459272863,0.002349634270723553,0.9312013795852662,0.9496254761507557
50,0.0032249137833714487,0.002320763576408006,0.9323965690612793,0.9507882207821888
