L1_Value,Experiment_Name,Test_Accuracy,Test_Loss
1e-05,base_cifar10_reg_L1_1e-05,0.6818928517353763,0.011582855645353628
0.0001,base_cifar10_reg_L1_0.0001,0.6060368107382659,0.015604114503997147
0.001,base_cifar10_reg_L1_0.001,0.2751998837776245,0.06278271655178373
