ES_Value,Experiment_Name,Test_Accuracy,Test_Loss
5,base_cifar100_reg_ES_5,0.8845982521202913,0.0041705938278561
10,base_cifar100_reg_ES_10,0.8834277938126,0.004199915141412976
15,base_cifar100_reg_ES_15,0.8822457076637609,0.004238243370500814
