Regularization,Display Name,Test Loss,Test Accuracy,Computation Time
None,None,0.0028847156012442652,0.9412379067414886,569.7821953296661
L1,L1 1e-05,0.0037372500967875026,0.9320964532293332,617.8936240673065
L2,L2 0.0001,0.003648657379909211,0.9329982483462923,629.240088224411
DR,DR 0.2,0.0030246947411518947,0.9404804425634397,579.9570207595825
ES,ES 15,0.0028757343756829856,0.94136433806389,931.143994808197
