L2_Value,Experiment_Name,Test_Accuracy,Test_Loss
0.0001,base_stl10_reg_L2_0.0001,0.7573013167381286,0.009384291142225266
0.001,base_stl10_reg_L2_0.001,0.6525834140777588,0.014714867137372493
0.01,base_stl10_reg_L2_0.01,0.5824324083328247,0.02176856353878975
