Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.06886068050314982,0.00756262631423058,0.8225062269940973,0.874221976767195
2,0.027455306453009448,0.005977159098504071,0.8860901436010996,0.8974642059270371
3,0.02471908552447955,0.005433135874014586,0.9056061682701111,0.9107600609038738
4,0.023721473589539528,0.005381777959360563,0.9140570340951284,0.9134865295379719
5,0.023088791045049826,0.005164937031990353,0.9171376838684082,0.9182790216613324
6,0.022648451402783393,0.005083257961582313,0.9191764798164368,0.9192941724619967
7,0.022324634944399197,0.004954662785786105,0.921368258078893,0.9225878943788245
8,0.02208495530982812,0.00493066907028093,0.9228961855570476,0.9228195262716171
9,0.021898405045270918,0.004886981639812918,0.9236740612188975,0.9237752065379569
10,0.021788801719745,0.004937265348184774,0.9240601156552632,0.9230790404563255
11,0.02170418382436037,0.004899080151672217,0.9241367273330688,0.9240264499441107
12,0.021619145599504314,0.004926892834656099,0.9240826498667399,0.9229820415060571
13,0.021559782542288304,0.004905725576657247,0.9238922254244486,0.9232995408646604
14,0.021467871755361558,0.004992120928983105,0.9236050509611765,0.9216951876878738
15,0.021378904789686203,0.0049516751351667216,0.923131676753362,0.9233087634152555
16,0.02126699598878622,0.004938039839505515,0.9227082351843516,0.9215210140385526
17,0.02118923493226369,0.0049388882520786945,0.9223214622338612,0.9229050776425828
18,0.021154918178915978,0.0049138803089513105,0.9223785411516825,0.9224180693322039
19,0.021153546790281932,0.004931331604738977,0.9222793705463409,0.9215568449903042
20,0.021147326909005643,0.004914611151957131,0.922266615152359,0.9224279310475004
21,0.02112901027252277,0.0049239124661866335,0.9223081490198771,0.9221856946006735
22,0.02112899717440208,0.004958895258011019,0.9222466324170431,0.9214420385183172
23,0.021135968260467052,0.004936434536617487,0.9222762082417806,0.9213005133131718
24,0.02113077267507712,0.004933459055114617,0.9222323358853658,0.9227612234176473
25,0.021120320796966553,0.004934341223177282,0.9222202192942301,0.9216584040129439
26,0.02112447576224804,0.004956673261055604,0.9221626612345377,0.921303059826506
27,0.02111732353766759,0.004920129557734632,0.9221969947814942,0.9221746705948038
28,0.02112648015966018,0.004927188990280983,0.9221272661685943,0.9214288915725465
29,0.021119389149049917,0.004953061800172671,0.9221267866293589,0.9210605069677881
30,0.021110668793320655,0.004930896820758093,0.9221466639041901,0.9223920969252891
31,0.021113727087775865,0.004909201834766948,0.922068060874939,0.9219161119866879
32,0.021112885825335978,0.00494919079752203,0.9220843505859375,0.922341635569613
33,0.021111666604876518,0.00490860252621326,0.9220726845264435,0.9219025455890818
34,0.02110971537232399,0.00493386783141722,0.9220535522301991,0.921086902948136
35,0.021104100572566193,0.004923993684450521,0.9220360403060913,0.9221503927986673
36,0.0210892315035065,0.004939200364033434,0.9220247200330098,0.9224019567383096
37,0.02108680069943269,0.004939033506200351,0.9219879158337911,0.9215574806674998
38,0.021072225756943227,0.004914605378252553,0.922034499168396,0.9215482584339507
39,0.021073071924348673,0.004937555006843932,0.9220374759038289,0.9226266947832513
40,0.021059599717458088,0.0048511252153981875,0.9221034828027089,0.9218798565103653
41,0.021038357960681122,0.004862355125295197,0.9221544232368469,0.922637404596552
42,0.021014126365383468,0.004825836560252974,0.9221993049780528,0.922378420512727
43,0.02101561516771714,0.004841701603157723,0.9221368053754171,0.9216192856113962
44,0.020996326928337417,0.00483588364589563,0.9222545779546102,0.9224060891156501
45,0.020990600804487863,0.0048238948245156316,0.9222367468674978,0.921718086651031
46,0.020991719278196493,0.004828953627556404,0.9221800140539805,0.922257994400694
47,0.020983440046509108,0.004853660790646013,0.9222442680199942,0.9211840100110845
48,0.020970007898906868,0.004819082601511098,0.9222804859479269,0.9223557358726542
49,0.02095703886449337,0.004794885785853926,0.922345802783966,0.9223350622552506
50,0.02094693937400977,0.00482537821579249,0.9223033931255341,0.9219078437445012
