Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_stl10,0.0022095207022503017,0.9516107153892517,437.1438319683075,Base
brightness_stl10,0.012458960190415383,0.6660134592056275,435.1641318798065,Brightness
color_jitter_stl10,0.0038304568231105804,0.9006238584518432,566.6677660942078,Color Jitter
contrast_stl10,0.00379582049138844,0.9043233399391174,429.64224767684937,Contrast
custom_augmentation_1_stl10,0.01814618679881096,0.5816308369636536,534.4920818805695,Custom Augmentation 1
cutout_stl10,0.0026236460357904434,0.9402234539985657,434.07197165489197,Cutout
flipping_stl10,0.047229420572519304,0.30627036905288696,429.0063519477844,Flipping
gaussian_noise_stl10,0.0023891440983861683,0.944850131034851,429.3099353313446,Gaussian Noise
random_crop_stl10,0.024457632422447206,0.5645201253890991,429.38658618927,Random Crop
rotation_stl10,0.01673473847657442,0.6537026133537293,590.333233833313,Rotation
scaling_stl10,0.012193596497178077,0.7554476628303528,529.0102717876434,Scaling
shearing_stl10,0.00790546565502882,0.8126026673316955,546.0503528118134,Shearing
