ES_Value,Experiment_Name,Test_Accuracy,Test_Loss
10,base_stl10_reg_ES_10,0.9019481391906738,0.003747042687609792
15,base_stl10_reg_ES_15,0.9010422391891479,0.0037734843343496323
5,base_stl10_reg_ES_5,0.8961204628944397,0.0039552706461399795
