Experiment,Test Loss,Test Accuracy,Computation Time,FID Score
base,0.009290880019402807,0.8963782339339044,182.98882031440735,215.96221356175752
brightness,0.012037225797250393,0.8792430082703852,185.3539433479309,268.10837086335056
color_jitter,0.009590081330744704,0.890256721123009,188.4305329322815,267.90584551225743
contrast,0.010201024152575785,0.8925680783903522,185.13396310806274,298.83948742026325
cutout,0.00958508496902361,0.8917922096647275,188.2003219127655,302.9497666350039
