Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_stl10,0.0037093842085450888,0.9029834442138672,446.8153624534607,Base
brightness_stl10,0.014336632020771503,0.5694079985618591,441.42077803611755,Brightness
color_jitter_stl10,0.004872414495795965,0.8686898493766785,595.5853111743927,Color Jitter
contrast_stl10,0.01027388072013855,0.6868878879547119,522.1417796611786,Contrast
custom_augmentation_1_stl10,0.023628317818045617,0.5121811501979828,528.4767413139343,Custom Augmentation 1
cutout_stl10,0.004084917804226279,0.8923151783943176,533.1463577747345,Cutout
flipping_stl10,0.04875327560305595,0.29786817443370817,525.2696807384491,Flipping
gaussian_noise_stl10,0.003885858105495572,0.8980239524841308,525.991063117981,Gaussian Noise
random_crop_stl10,0.02074963341653347,0.6176472053527832,526.100905418396,Random Crop
rotation_stl10,0.01900381438434124,0.6130832395553589,529.2820856571198,Rotation
scaling_stl10,0.012791291557252407,0.7452298059463501,528.125951051712,Scaling
shearing_stl10,0.009241847448050976,0.7818874864578247,528.855849981308,Shearing
